date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
09/01/1965,France,Scotland,16,8,1965 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
16/01/1965,Wales,England,14,3,1965 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
23/01/1965,Ireland,France,3,3,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
06/02/1965,Scotland,Wales,12,14,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/02/1965,Ireland,England,5,0,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
27/02/1965,England,France,9,6,1965 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
27/02/1965,Scotland,Ireland,6,16,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/03/1965,Wales,Ireland,14,8,1965 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
20/03/1965,England,Scotland,3,3,1965 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
27/03/1965,France,Wales,22,13,1965 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
10/04/1965,Ireland,South Africa,9,6,1965 South Africa rugby union tour of Scotland and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
17/04/1965,Scotland,South Africa,8,5,1965 South Africa rugby union tour of Scotland and Ireland,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
18/04/1965,France,Italy,21,0,Test Match,Gare de La Croix du Prince,Pau,France,FALSE,FALSE
19/06/1965,Australia,South Africa,18,11,1965 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
26/06/1965,Australia,South Africa,12,8,1965 South Africa tour of Australia and New Zealand,Lang Park,Brisbane,Australia,FALSE,FALSE
31/07/1965,New Zealand,South Africa,6,3,1965 South Africa tour,Athletic Park,Wellington,New Zealand,FALSE,FALSE
21/08/1965,New Zealand,South Africa,13,0,1965 South Africa tour,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
04/09/1965,New Zealand,South Africa,16,19,1965 South Africa tour,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
18/09/1965,New Zealand,South Africa,20,3,1965 South Africa tour,Eden Park,Auckland,New Zealand,FALSE,FALSE
15/01/1966,Scotland,France,3,3,1966 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
15/01/1966,England,Wales,6,11,1966 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
29/01/1966,France,Ireland,11,6,1966 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
05/02/1966,Wales,Scotland,8,3,1966 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
12/02/1966,England,Ireland,6,6,1966 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
26/02/1966,Ireland,Scotland,3,11,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/02/1966,France,England,13,0,1966 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
12/03/1966,Ireland,Wales,9,6,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/03/1966,Scotland,England,6,3,1966 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
26/03/1966,Wales,France,9,8,1966 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
09/04/1966,Italy,France,0,21,1966–67 FIRA Nations Cup,Stadio Arturo Collana,Naples,Italy,FALSE,FALSE
03/12/1966,Wales,Australia,11,14,"1966–67 Australia tour of Great Britain, Ireland and France",National Stadium,Cardiff,Wales,FALSE,FALSE
17/12/1966,Scotland,Australia,11,5,"1966–67 Australia tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
07/01/1967,England,Australia,11,23,"1966–67 Australia tour of Great Britain, Ireland and France",Twickenham Stadium,London,England,FALSE,FALSE
14/01/1967,France,Scotland,8,9,1967 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
21/01/1967,Ireland,Australia,15,8,"1966–67 Australia tour of Great Britain, Ireland and France",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/02/1967,Scotland,Wales,11,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
11/02/1967,Ireland,England,3,8,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
11/02/1967,France,Australia,20,14,"1966–67 Australia tour of Great Britain, Ireland and France",Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
25/02/1967,Scotland,Ireland,3,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/02/1967,England,France,12,16,1967 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
11/03/1967,Wales,Ireland,0,3,1967 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
18/03/1967,England,Scotland,27,14,1967 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
26/03/1967,France,Italy,60,13,1967–68 FIRA Nations Cup,Stade Mayol,Toulon,France,FALSE,FALSE
01/04/1967,France,Wales,20,14,1967 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
15/04/1967,Wales,England,34,21,1967 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
15/04/1967,Ireland,France,6,11,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
13/05/1967,Australia,Ireland,5,11,1967 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
15/07/1967,South Africa,France,26,3,1967 France rugby union tour of South Africa,Kings Park,Durban,South Africa,FALSE,FALSE
22/07/1967,South Africa,France,16,3,1967 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
29/07/1967,South Africa,France,14,19,1967 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
12/08/1967,South Africa,France,6,6,1967 France rugby union tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
19/08/1967,New Zealand,Australia,29,9,1967 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
04/11/1967,England,New Zealand,11,23,"1967 New Zealand rugby union tour of Britain, France and Canada",Twickenham,London,England,FALSE,FALSE
11/11/1967,Wales,New Zealand,6,13,"1967 New Zealand tour of Great Britain, France and Canada",National Stadium,Cardiff,Wales,FALSE,FALSE
25/11/1967,France,New Zealand,15,21,1967 New Zealand tour,Yves-du-Manoir,Colombes,France,FALSE,FALSE
02/12/1967,Scotland,New Zealand,3,14,1967 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
13/01/1968,Scotland,France,6,8,1968 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
20/01/1968,England,Wales,11,11,1968 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
27/01/1968,France,Ireland,16,6,1968 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
03/02/1968,Wales,Scotland,5,0,1968 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
10/02/1968,England,Ireland,9,9,1968 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
24/02/1968,France,England,14,9,1968 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
24/02/1968,Ireland,Scotland,14,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
09/03/1968,Ireland,Wales,9,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
16/03/1968,Scotland,England,6,8,1968 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
23/03/1968,Wales,France,9,14,1968 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
15/06/1968,Australia,New Zealand,11,27,1968 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
22/06/1968,Australia,New Zealand,18,19,1968 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
13/07/1968,New Zealand,France,12,9,1968 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
27/07/1968,New Zealand,France,9,3,1968 French tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
10/08/1968,New Zealand,France,19,12,1968 French tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
17/08/1968,Australia,France,11,10,1968 France tour of New Zealand and Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
26/10/1968,Ireland,Australia,10,3,1968 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
06/11/1968,Scotland,Australia,9,3,1968 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
09/11/1968,France,South Africa,9,12,1968 South Africa rugby union tour of France,Parc Lescure,Bordeaux,France,FALSE,FALSE
16/11/1968,France,South Africa,11,16,1968 South Africa rugby union tour of France,Yves-du-Manoir,Colombes,France,FALSE,FALSE
11/01/1969,France,Scotland,3,6,1969 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
25/01/1969,Ireland,France,17,9,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
01/02/1969,Scotland,Wales,3,17,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/02/1969,Ireland,England,17,15,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
22/02/1969,Scotland,Ireland,0,16,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
22/02/1969,England,France,22,8,1969 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
08/03/1969,Wales,Ireland,24,11,1969 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
15/03/1969,England,Scotland,8,3,1969 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
22/03/1969,France,Wales,8,8,1969 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
12/04/1969,Wales,England,30,9,1969 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
31/05/1969,New Zealand,Wales,19,0,"1969 Wales tour of New Zealand, Australia and Fiji",Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
14/06/1969,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Eden Park,Auckland,New Zealand,FALSE,FALSE
21/06/1969,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
02/08/1969,South Africa,Australia,30,11,1969 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
16/08/1969,South Africa,Australia,16,9,1969 Australia tour of South Africa,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
06/09/1969,South Africa,Australia,11,3,1969 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
20/09/1969,South Africa,Australia,19,8,1969 Australia tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
06/12/1969,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
20/12/1969,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England,FALSE,FALSE
10/01/1970,Scotland,France,9,11,1970 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
10/01/1970,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
24/01/1970,Wales,South Africa,6,6,1969–70 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,FALSE,FALSE
24/01/1970,France,Ireland,8,0,1970 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
07/02/1970,Wales,Scotland,18,9,1970 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
14/02/1970,England,Ireland,9,3,1970 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
21/02/1970,Scotland,England,14,5,1970 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
28/02/1970,Ireland,Scotland,16,11,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
28/02/1970,England,Wales,13,17,1970 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
14/03/1970,Ireland,Wales,14,0,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/04/1970,Wales,France,11,6,1970 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
18/04/1970,France,England,35,13,1970 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
06/06/1970,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
25/07/1970,South Africa,New Zealand,17,6,1970 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
08/08/1970,South Africa,New Zealand,8,9,1970 New Zealand tour,Newlands,Cape Town,South Africa,FALSE,FALSE
29/08/1970,South Africa,New Zealand,14,3,1970 New Zealand tour,Boet Erasmus Stadium,Port Elizabeth,South Africa,FALSE,FALSE
12/09/1970,South Africa,New Zealand,20,17,1970 New Zealand tour,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
16/01/1971,France,Scotland,13,8,1971 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
16/01/1971,Wales,England,22,6,1971 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
30/01/1971,Ireland,France,9,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
06/02/1971,Scotland,Wales,18,19,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/02/1971,Ireland,England,6,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
27/02/1971,Scotland,Ireland,5,17,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
27/02/1971,England,France,14,14,1971 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
13/03/1971,Wales,Ireland,23,9,1971 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
20/03/1971,England,Scotland,15,16,1971 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
27/03/1971,Scotland,England,26,6,Rugby Union Centenary International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
27/03/1971,France,Wales,5,9,1971 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
12/06/1971,South Africa,France,22,9,1971 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
19/06/1971,South Africa,France,8,8,1971 France rugby union tour of South Africa,Kings Park,Durban,South Africa,FALSE,FALSE
17/07/1971,Australia,South Africa,11,19,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
31/07/1971,Australia,South Africa,6,14,1971 South Africa tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,FALSE,FALSE
07/08/1971,Australia,South Africa,6,18,1971 South Africa tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
20/11/1971,France,Australia,11,13,1971 Australia tour of France,Stadium Municipal,Toulouse,France,FALSE,FALSE
27/11/1971,France,Australia,18,9,1971 Australia tour of France,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
15/01/1972,England,Wales,3,12,1972 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
15/01/1972,Scotland,France,20,9,1972 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
29/01/1972,France,Ireland,9,14,1972 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
05/02/1972,Wales,Scotland,35,12,1972 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
12/02/1972,England,Ireland,12,16,1972 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
26/02/1972,France,England,37,12,1972 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
18/03/1972,Scotland,England,23,9,1972 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/03/1972,Wales,France,20,6,1972 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
29/04/1972,Ireland,France,24,14,Test Match,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
03/06/1972,South Africa,England,9,18,1972 England rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
17/06/1972,Australia,France,14,14,1972 France tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
25/06/1972,Australia,France,15,16,1972 France tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
19/08/1972,New Zealand,Australia,29,6,1972 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
02/09/1972,New Zealand,Australia,30,17,1972 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
16/09/1972,New Zealand,Australia,38,3,1972 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
02/12/1972,Wales,New Zealand,16,19,1972–73 New Zealand tour of Europe and North America,National Stadium,Cardiff,Wales,FALSE,FALSE
16/12/1972,Scotland,New Zealand,9,14,1972-73 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
06/01/1973,England,New Zealand,0,9,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England,FALSE,FALSE
13/01/1973,France,Scotland,16,13,1973 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
20/01/1973,Wales,England,25,9,1973 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
20/01/1973,Ireland,New Zealand,10,10,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
03/02/1973,Scotland,Wales,10,9,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/02/1973,Ireland,England,18,9,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
10/02/1973,France,New Zealand,13,6,1972–73 New Zealand tour,Parc des Princes,Paris,France,FALSE,FALSE
24/02/1973,England,France,14,6,1973 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
24/02/1973,Scotland,Ireland,19,14,1973 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/03/1973,Wales,Ireland,16,12,1973 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
17/03/1973,England,Scotland,20,13,1973 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
24/03/1973,France,Wales,12,3,1973 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
14/04/1973,Ireland,France,6,4,1973 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
15/09/1973,New Zealand,England,10,16,1973 England rugby union tour of Fiji and New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
10/11/1973,Wales,Australia,24,0,1973 Australia tour of Great Britain and Italy,National Stadium,Cardiff,Wales,FALSE,FALSE
17/11/1973,England,Australia,20,3,1973 Australia tour of Great Britain and Italy,Twickenham Stadium,London,England,FALSE,FALSE
19/01/1974,France,Ireland,9,6,1974 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
19/01/1974,Wales,Scotland,6,0,1974 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
02/02/1974,Ireland,Wales,9,9,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
02/02/1974,Scotland,England,16,14,1974 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/02/1974,England,Ireland,21,26,1974 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
16/02/1974,Wales,France,16,16,1974 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
02/03/1974,France,England,12,12,1974 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
02/03/1974,Ireland,Scotland,9,6,1974 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
16/03/1974,England,Wales,16,12,1974 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
16/03/1974,Scotland,France,19,6,1974 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
25/05/1974,Australia,New Zealand,6,11,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
01/06/1974,Australia,New Zealand,16,16,1974 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
08/06/1974,Australia,New Zealand,6,16,1974 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
20/06/1974,Argentina,France,15,20,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
29/06/1974,Argentina,France,27,31,1974 France tour of Brazil and Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
23/11/1974,France,South Africa,4,13,1974 South Africa rugby union tour of France,Stadium Municipal,Toulouse,France,FALSE,FALSE
23/11/1974,Ireland,New Zealand,6,15,"1974 New Zealand rugby union tour of Ireland, Wales and England",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
30/11/1974,France,South Africa,8,10,1974 South Africa rugby union tour of France,Parc des Princes,Paris,France,FALSE,FALSE
18/01/1975,France,Wales,10,25,1975 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
18/01/1975,Ireland,England,12,9,1975 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
01/02/1975,England,France,20,27,1975 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
01/02/1975,Scotland,Ireland,20,13,1975 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
15/02/1975,Wales,England,20,4,1975 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
15/02/1975,France,Scotland,10,9,1975 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
01/03/1975,Scotland,Wales,12,10,1975 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
01/03/1975,Ireland,France,25,6,1975 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
15/03/1975,Wales,Ireland,32,4,1975 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
15/03/1975,England,Scotland,7,6,1975 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
24/05/1975,Australia,England,16,9,1975 England tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
31/05/1975,Australia,England,30,21,1975 England tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
14/06/1975,New Zealand,Scotland,24,0,1975 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
21/06/1975,South Africa,France,38,25,1975 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
28/06/1975,South Africa,France,33,18,1975 France rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
19/10/1975,France,Argentina,29,6,1975 Argentina tour of France,Stade de Gerland,Lyon,France,FALSE,FALSE
25/10/1975,France,Argentina,36,21,1975 Argentina tour of France,Parc des Princes,Paris,France,FALSE,FALSE
06/12/1975,Scotland,Australia,10,3,"1975–76 Australia tour of Great Britain, Ireland and North America",Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
20/12/1975,Wales,Australia,28,3,"1975–76 Australia tour of Great Britain, Ireland and North America",National Stadium,Cardiff,Wales,FALSE,FALSE
03/01/1976,England,Australia,23,6,"1975–76 Australia tour of Great Britain, Ireland and North America",Twickenham Stadium,London,England,FALSE,FALSE
10/01/1976,Scotland,France,6,13,1976 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
17/01/1976,Ireland,Australia,10,20,"1975–76 Australia tour of Great Britain, Ireland and North America",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
17/01/1976,England,Wales,9,21,1976 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
07/02/1976,France,Ireland,26,3,1976 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
07/02/1976,Wales,Scotland,28,6,1976 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
21/02/1976,Ireland,Wales,9,34,1976 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
21/02/1976,Scotland,England,22,12,1976 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
06/03/1976,England,Ireland,12,13,1976 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
06/03/1976,Wales,France,19,13,1976 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
20/03/1976,Ireland,Scotland,6,15,1976 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/03/1976,France,England,30,9,1976 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
05/06/1976,New Zealand,Ireland,11,3,1976 Ireland rugby union tour of New Zealand and Fiji,Athletic Park,Wellington,New Zealand,FALSE,FALSE
24/07/1976,South Africa,New Zealand,16,7,1976 New Zealand tour,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
14/08/1976,South Africa,New Zealand,9,15,1976 New Zealand tour,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
04/09/1976,South Africa,New Zealand,15,10,1976 New Zealand tour,Newlands,Cape Town,South Africa,FALSE,FALSE
18/09/1976,South Africa,New Zealand,15,14,1976 New Zealand tour,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
24/10/1976,France,Australia,18,15,1976 Australia tour of France and Italy,Stade Chaban-Delmas,Bordeaux,France,FALSE,FALSE
30/10/1976,France,Australia,34,6,1976 Australia tour of France and Italy,Parc des Princes,Paris,France,FALSE,FALSE
15/01/1977,Wales,Ireland,25,9,1977 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
15/01/1977,England,Scotland,26,6,1977 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
01/02/1977,England,France,3,4,1977 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
05/02/1977,France,Wales,16,9,1977 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
05/02/1977,Ireland,England,0,4,1977 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/02/1977,Scotland,Ireland,21,18,1977 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
05/03/1977,France,Scotland,23,3,1977 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
05/03/1977,Wales,England,14,9,1977 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
19/03/1977,Scotland,Wales,9,18,1977 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
19/03/1977,Ireland,France,6,15,1977 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
