date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
01/01/1927,France,Ireland,3,8,1927 Five Nations Championship,Colombes,Paris,France,FALSE,FALSE
15/01/1927,England,Wales,11,9,1927 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
22/01/1927,Scotland,France,23,6,1927 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
05/02/1927,Wales,Scotland,0,5,1927 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
12/02/1927,England,Ireland,8,6,1927 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
26/02/1927,Ireland,Scotland,6,0,1927 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/02/1927,Wales,France,25,7,1927 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
12/03/1927,Ireland,Wales,19,9,1927 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
19/03/1927,Scotland,England,21,13,1927 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
02/04/1927,France,England,3,0,1927 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
12/11/1927,Ireland,Australia,3,5,"1927–28 Waratahs tour of the British Isles, France and Canada",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/11/1927,Wales,Australia,8,18,1927–28 Waratahs tour of Europe and North America,National Stadium,Cardiff,Wales,FALSE,FALSE
17/12/1927,Scotland,Australia,10,8,"1927–28 New South Wales tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
02/01/1928,France,Scotland,6,15,1928 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
07/01/1928,England,Australia,18,11,"1927–28 New South Wales tour of Great Britain, Ireland and France",Twickenham Stadium,London,England,FALSE,FALSE
21/01/1928,Wales,England,8,10,1928 Five Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
22/01/1928,France,Australia,8,11,"1927–28 New South Wales tour of Great Britain, Ireland and France",Stade Yves-du-Manoir,Colombes,France,FALSE,FALSE
28/01/1928,Ireland,France,12,8,1928 Five Nations Championship,Ravenhill Stadium,Belfast,Ireland,FALSE,FALSE
04/02/1928,Scotland,Wales,0,13,1928 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
11/02/1928,Ireland,England,6,7,1928 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
25/02/1928,Scotland,Ireland,5,13,1928 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/02/1928,England,France,18,8,1928 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
10/03/1928,Wales,Ireland,10,13,1928 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
17/03/1928,England,Scotland,6,0,1928 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
09/04/1928,France,Wales,8,3,1928 Five Nations Championship,Stade Colombes,Paris,France,FALSE,FALSE
30/06/1928,South Africa,New Zealand,17,0,1928 New Zealand tour,Kingsmead,Durban,South Africa,FALSE,FALSE
21/07/1928,South Africa,New Zealand,6,7,1928 New Zealand tour,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
